bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
In_Ne,In,Ne,0,2.0,0.1822980893843054,1.817701910615695,,
Sc_H,Sc,H,1,2.01,0.3022911110194871,1.707708888980513,1.68,0.37
Ta_H,Ta,H,1,2.01,0.238766417551017,1.771233582448983,1.76,0.37
Li_C,Li,C,1,2.01,0.3847288323861687,1.625271167613831,,
Be_S,Be,S,1,2.01,0.1869802020817634,1.823019797918236,1.83,0.37
Cd_F,Cd,F,1,2.01,0.1926556114008093,1.81734438859919,1.811,0.37
Os_F,Os,F,1,2.01,0.2662652639858929,1.743734736014107,1.72,0.37
Be_Ar,Be,Ar,0,2.02,0.2380366531188592,1.781963346881141,,
Pt_O,Pt,O,1,2.02,0.2488452740112136,1.771154725988787,1.8235,0.37
Au_O,Au,O,1,2.02,0.1982515492727383,1.821748450727262,1.833,0.37
Ag_F,Ag,F,1,2.02,0.2664663423523538,1.753533657647646,1.8,0.37
Tl_F,Tl,F,1,2.02,0.001271253867483058,2.018728746132517,2.015,0.37
Cd_Ne,Cd,Ne,0,2.02,0.1934965282904175,1.826503471709582,,
Os_Ne,Os,Ne,0,2.02,0.2681061668248439,1.751893833175156,,
Zr_He,Zr,He,0,2.03,0.3754949590844268,1.654505040915573,,
Hf_He,Hf,He,0,2.03,0.3721281044678902,1.65787189553211,,
Be_P,Be,P,1,2.03,0.1077941109860434,1.922205889013957,1.95,0.37
B_As,B,As,1,2.03,0.05387100444251686,1.976128995557483,1.97,0.37
Cu_N,Cu,N,1,2.03,0.3987457501520014,1.631254249847999,1.672818181818182,0.3700000000000001
Hg_N,Hg,N,1,2.03,0.025953348295709,2.004046651704291,2.02,0.37
Ru_F,Ru,F,1,2.03,0.3136373020223253,1.716362697977674,1.74,0.37
Pb_F,Pb,F,1,2.03,0.0374237105767522,1.992576289423248,1.985,0.37
Ag_Ne,Ag,Ne,0,2.03,0.267307259241962,1.762692740758038,,
Tl_Ne,Tl,Ne,0,2.03,0.003112156706434055,2.026887843293566,,
Ca_He,Ca,He,0,2.04,0.3612482295316106,1.678751770468389,,
B_Ge,B,Ge,1,2.04,0.1167996438265267,1.923200356173473,,
B_Se,B,Se,1,2.04,0.09624657656618948,1.943753423433811,1.95,0.37
B_Br,B,Br,1,2.04,0.1406647277374063,1.899335272262594,1.88,0.37
Co_O,Co,O,1,2.04,0.3461839279368101,1.69381607206319,1.6785,0.37
Te_O,Te,O,1,2.04,0.05555807349088082,1.984441926509119,1.947,0.37
Tc_F,Tc,F,1,2.04,0.3177451278928578,1.722254872107142,,
Ru_Ne,Ru,Ne,0,2.04,0.3144782189119336,1.725521781088067,,
Pb_Ne,Pb,Ne,0,2.04,0.0392646134157032,2.000735386584297,,
Cl_Cl,Cl,Cl,1,2.04,0.01830156455279125,2.021698435447209,2.0,0.37
Al_B,Al,B,1,2.05,0.2257009598952393,1.824299040104761,,
Cu_C,Cu,C,1,2.05,0.4332171107347674,1.616782889265233,1.668666666666667,0.3699999999999999
Hg_C,Hg,C,1,2.05,0.0364444314238464,2.013555568576153,,
Cr_O,Cr,O,1,2.05,0.3256800391543671,1.724319960845633,1.74,0.3699999999999999
Pd_O,Pd,O,1,2.05,0.281046557063435,1.768953442936565,1.792,0.37
Sn_O,Sn,O,1,2.05,0.09575466189012138,1.954245338109879,1.948333333333333,0.3699999999999999
Sb_O,Sb,O,1,2.05,0.09033161672963602,1.959668383270364,1.933666666666667,0.3699999999999999
I_O,I,O,1,2.05,0.08101461952435773,1.968985380475642,1.9665,0.37
Bi_F,Bi,F,1,2.05,0.03402451979207011,2.015975480207929,1.98,0.37
Tc_Ne,Tc,Ne,0,2.05,0.318586044782466,1.731413955217534,,
Zr_H,Zr,H,1,2.06,0.2584153890457699,1.80158461095423,1.79,0.37
Hf_H,Hf,H,1,2.06,0.2692894066869151,1.790710593313085,1.78,0.37
Zn_B,Zn,B,1,2.06,0.2763943070698784,1.783605692930122,,
Ga_B,Ga,B,1,2.06,0.1828949738332974,1.877105026166703,,
Xe_O,Xe,O,0,2.06,0.06913616007757001,1.99086383992243,1.97,0.37
Po_O,Po,O,1,2.06,-0.1593076689938539,2.219307668993854,2.19,0.37
Bi_Ne,Bi,Ne,0,2.06,0.0358654226310211,2.024134577368979,,
Ca_H,Ca,H,1,2.07,0.240456073647084,1.829543926352916,1.83,0.37
Be_Si,Be,Si,1,2.07,0.259376754576473,1.810623245423527,,
